City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Nueve De Julio,AR,2020-06-25 21:54:27,-35.44,-60.88,46.99,55,0,1.99
168,Puerto Colombia,CO,2020-06-25 21:54:27,10.99,-74.95,87.8,66,29,13.87
169,Ankang,CN,2020-06-25 21:54:27,32.68,109.02,73.92,76,99,1.05
170,Annecy-Le-Vieux,FR,2020-06-25 21:54:27,45.92,6.14,73.4,82,21,5.82
171,Kaitangata,NZ,2020-06-25 21:54:27,-46.28,169.85,46.0,77,30,1.99
172,Lichuan,CN,2020-06-25 21:54:27,30.3,108.85,63.73,97,62,4.0
173,Piacabucu,BR,2020-06-25 21:54:27,-10.41,-36.43,74.84,84,11,8.01
174,Longyearbyen,SJ,2020-06-25 21:54:28,78.22,15.64,46.4,81,75,3.36
175,Tarut,SA,2020-06-25 21:54:28,26.57,50.04,89.6,25,0,6.93
176,Ajdabiya,LY,2020-06-25 21:54:28,30.76,20.23,70.63,79,0,12.21
177,Tuatapere,NZ,2020-06-25 21:54:28,-46.13,167.68,39.0,83,0,3.0
178,Swan Hill,AU,2020-06-25 21:54:28,-35.34,143.55,42.08,91,0,4.21
179,Surt,LY,2020-06-25 21:54:28,31.21,16.59,72.93,78,0,12.3
180,Nome,US,2020-06-25 21:54:28,64.5,-165.41,46.99,49,90,9.98
181,Capreol,CA,2020-06-25 21:54:29,46.71,-80.92,73.99,46,40,17.22
182,Khatanga,RU,2020-06-25 21:54:29,71.97,102.5,69.26,56,100,11.59
183,Cap-Aux-Meules,CA,2020-06-25 21:54:29,47.38,-61.86,73.4,83,40,8.05
184,Ilulissat,GL,2020-06-25 21:54:29,69.22,-51.1,41.0,75,100,4.7
185,Hollola,FI,2020-06-25 21:54:29,61.05,25.43,68.0,64,7,5.53
186,Westport,US,2020-06-25 21:52:17,41.14,-73.36,84.0,32,1,5.82
187,Aykhal,RU,2020-06-25 21:54:29,66.0,111.5,64.4,55,43,4.47
188,Basco,PH,2020-06-25 21:54:30,20.45,121.97,85.01,81,90,14.18
189,Guerrero Negro,MX,2020-06-25 21:54:30,27.98,-114.06,74.43,51,5,17.56
190,Chivay,PE,2020-06-25 21:54:30,-15.64,-71.6,55.0,34,0,6.49
